,X,STATION,Station,State,DATE,TIME,HLY.CLDH.NORMAL,HLY.CLOD.PCTBKN,HLY.CLOD.PCTCLR,HLY.CLOD.PCTFEW,HLY.CLOD.PCTOVC,HLY.CLOD.PCTSCT,HLY.DEWP.10PCTL,HLY.DEWP.90PCTL,HLY.DEWP.NORMAL,HLY.HIDX.NORMAL,HLY.HTDH.NORMAL,HLY.PRES.10PCTL,HLY.PRES.90PCTL,HLY.PRES.NORMAL,HLY.TEMP.10PCTL,HLY.TEMP.90PCTL,HLY.TEMP.NORMAL,HLY.WCHL.NORMAL,HLY.WIND.1STDIR,HLY.WIND.1STPCT,HLY.WIND.2NDDIR,HLY.WIND.2NDPCT,HLY.WIND.AVGSPD,HLY.WIND.PCTCLM,HLY.WIND.VCTDIR,HLY.WIND.VCTSPD
18,18,USW00024155,PENDLETON E OR REGIONAL AIRPORT,OR,11-Jun,18,7,174,405,153,209,58,34,52,42.6,70.5,1.5,1,1,1,59,82,70.5,70.5,7,343,8,218,11.1,36,285,6.9
19,19,USW00093805,TALLAHASSEE REGIONAL AIRPORT,FL,2-Apr,8,0.7,188,312,107,337,56,37.9,66,52.9,58.7,7,1,1,1,48,68,58.7,58.3,1,189,4,143,5.8,262,64,1.4
20,20,USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT,FL,17-Jun,16,20.3,392,94,147,196,171,64.9,75,70.2,89.5,0,1,1,1,75.9,93.9,85.3,85.3,3,279,4,222,10.7,18,108,4.2
21,21,USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT,WI,8-Apr,2,-777.7,90,367,52,453,38,18,41,29.4,35.9,29.1,1,1,1,26.1,46,35.9,30.4,2,209,1,134,8.3,110,5,1.9
22,22,USW00014860,ERIE INTERNATIONAL AIRPORT,PA,5-Apr,2,0.1,89,289,44,557,21,18,45,31.5,40.4,24.6,1,1,1,28.9,55.9,40.4,35.6,5,250,6,140,9.7,105,200,2.3
23,23,USW00093729,CAPE HATTERAS BILLY MITCHELL FIELD,NC,30-Jun,19,12.6,146,417,151,233,53,62.1,75.9,70.3,79.1,0,1,1,1,73,81,77.6,77.6,6,435,2,170,10,21,198,4.4
24,24,USW00023234,SAN FRANCISCO INTERNATIONAL AIRPORT,CA,21-Apr,0,-777.7,214,279,174,214,118,41,51.1,46.5,52.6,12.4,1,1,1,48.9,57,52.6,51.4,7,468,8,227,10.6,47,269,8.4
25,25,USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT,CT,15-Apr,9,0.2,202,155,157,409,77,17.1,48,32.6,49.1,16.1,1,1,1,39.9,60.1,49.1,46,1,224,8,178,9.5,69,347,3.4
26,26,USW00003103,FLAGSTAFF PULLIAM AIRPORT,AZ,5-Jun,8,1.2,NA,NA,NA,NA,NA,21.9,43,31.6,60.3,5.8,NA,NA,NA,51.1,70,60.3,60,6,397,5,126,6.3,239,213,3.8
27,27,USW00023129,LONG BEACH DAUGHERTY AIRPORT,CA,1-May,14,6.7,178,411,178,99,135,41,57.9,50.4,71.4,0.3,1,1,1,64,82.9,71.4,71.4,5,499,6,213,11,2,216,8.1
28,28,USW00014777,WILKES BARRE SCRANTON INTERNATIONAL AIRPORT,PA,11-Jun,5,0.8,123,295,102,416,63,43,64,54.4,58.6,7.2,1,1,1,48,68,58.6,58.2,3,266,6,171,4.7,252,132,1.1
29,29,USW00025507,HOMER AIRPORT,AK,29-Apr,10,0,NA,NA,NA,NA,NA,27,39,33.3,43.1,21.9,1,1,1,37.9,48,43.1,38.9,3,233,6,215,7.8,49,148,2.7
30,30,USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT,AZ,18-Apr,17,19.5,198,344,215,94,149,16,42.1,29.5,84.3,0.2,1,1,1,72,95,84.3,84.3,7,434,6,208,9.6,40,261,7.3
31,31,USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT,WI,24-Apr,9,0.3,142,345,90,368,54,24.1,51.1,36.1,49.7,15.6,1,1,1,39,61,49.7,46.4,2,257,6,130,11.7,27,13,1.2
32,32,USW00025501,KODIAK AIRPORT,AK,18-May,8,0,201,149,61,517,72,30,43,37,44.8,20.2,1,1,1,41,50,44.8,40.5,8,304,3,168,10,102,27,3.1
33,33,USW00093821,LOUISVILLE INTERNATIONAL AIRPORT,KY,29-Jun,0,8.8,202,314,162,179,143,55.9,72,65.2,74.2,0.1,1,1,1,66.9,80.1,73.7,73.7,5,247,4,184,5.5,139,185,2.2
34,34,USW00013723,GREENSBORO AIRPORT,NC,13-Jun,8,7.2,166,295,122,333,84,54,70,63.2,72.1,0.3,1,1,1,64.9,79,71.9,71.9,6,274,2,183,7.3,64,276,2
35,35,USW00014821,PORT COLUMBUS INTERNATIONAL AIRPORT,OH,9-Jun,9,6.1,231,117,133,387,133,48,68,58.6,70.2,1,1,1,1,60.1,79,70,70,5,196,6,191,7.5,80,207,1.9
36,36,USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT,NM,11-May,16,12.2,354,128,177,145,196,10.9,39,24.8,76.8,0.5,1,1,1,66,86,76.8,76.8,6,236,7,235,14.2,13,241,7.3
37,37,USW00014891,MANSFIELD LAHM REGIONAL AIRPORT,OH,1-May,15,3.1,175,271,153,346,55,29.1,57,42.3,62.6,5.6,1,1,1,48.9,77,62.5,61.7,6,176,7,164,12.8,16,251,3.5
38,38,USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT,IL,5-May,4,0.1,141,267,136,371,85,30.9,54,41.6,48.9,16.2,1,1,1,37.9,61,48.9,46.7,6,156,7,146,8.1,120,240,0.7
39,39,USW00024033,BILLINGS INTERNATIONAL AIRPORT,MT,9-Jun,6,0.1,231,104,238,314,113,36,53.1,44.5,53.3,11.7,1,1,1,45,61,53.3,52.1,6,428,1,129,8.2,69,254,4.3
40,40,USW00023047,AMARILLO INTERNATIONAL AIRPORT,TX,28-Jun,9,10.7,190,379,156,154,121,53.1,64.9,59.6,75.7,0.2,1,1,1,66.9,82.9,75.6,75.6,6,395,5,215,14.3,11,212,8
41,41,USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT,IL,5-May,22,0.4,155,248,88,394,115,30,57,43.2,54,11.7,1,1,1,44.1,66,53.7,52.3,5,200,3,180,9.4,81,119,2.5
42,42,USW00013899,PENSACOLA REGIONAL AIRPORT,FL,1-May,1,3,153,512,139,162,35,48,71.1,61.3,65.9,2.1,1,1,1,57,73.4,65.9,65.9,1,165,5,157,6.6,171,169,1
43,43,USW00026425,GULKANA AIRPORT,AK,3-May,17,0.1,326,24,69,479,102,16,33.1,24.4,49.8,15.4,1,1,1,41,59,49.8,46.9,5,373,4,138,9.6,66,172,4.7
44,44,USW00014891,MANSFIELD LAHM REGIONAL AIRPORT,OH,19-Jun,12,11.1,234,208,204,227,127,48.9,69.1,59.6,76.4,0.4,1,1,1,64.9,84.9,75.7,75.7,6,208,7,181,9.9,11,248,3.5
45,45,USW00093805,TALLAHASSEE REGIONAL AIRPORT,FL,30-Apr,2,1.5,112,494,108,237,49,46,69.1,57.5,61.5,5.1,1,1,1,51.1,70,61.5,61.4,3,133,8,102,3.1,491,108,0.7
46,46,USW00024227,OLYMPIA AIRPORT,WA,4-May,18,1.1,240,192,85,367,115,34,50,42.3,57.7,8.3,1,1,1,48.9,69.1,57.7,57,6,292,7,232,9,22,259,4.2
47,47,USW00014827,FORT WAYNE INTERNATIONAL AIRPORT,IN,13-Apr,9,0.3,179,208,132,416,65,24.1,55,37.8,47.8,17.5,1,1,1,35.1,63,47.8,43.7,6,185,3,183,11.8,18,230,1.3
48,48,USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT,LA,22-May,2,6.5,180,364,207,134,115,57.9,73,67.1,71.4,0.2,1,1,1,64.9,77,71.3,71.3,4,169,5,164,5.3,233,150,1.7
49,49,USW00094849,ALPENA CO REGIONAL AIRPORT,MI,29-May,17,3.7,179,328,123,307,63,32,60.1,46.1,64.6,4.2,1,1,1,53.1,78.1,64.6,64.2,3,259,4,221,10.3,18,66,2.5
50,50,USW00093729,CAPE HATTERAS BILLY MITCHELL FIELD,NC,20-May,23,2.9,96,482,108,230,84,48.9,69.1,60.6,65.7,2.2,1,1,1,57,73,65.7,65.6,6,342,2,224,8.9,50,222,1.8
51,51,USW00013970,BATON ROUGE RYAN AIRPORT,LA,18-Apr,12,11.1,272,225,158,177,168,42.1,69.1,57,76.4,0.4,1,1,1,66,82.9,75.7,75.7,5,252,4,155,10.3,33,179,3.8
52,52,USW00014852,YOUNGSTOWN WARREN REGIONAL AIRPORT,OH,14-Apr,13,1.5,209,64,84,548,95,21.9,53.1,36.4,54.6,12,1,1,1,37.9,72,54.5,51.8,6,196,8,193,12.2,16,263,3.9
53,53,USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT,MN,22-May,17,3.8,200,259,107,347,88,27,55,40.9,64.1,4.7,1,1,1,51.1,78.1,64.1,63.6,2,175,8,165,10.3,24,351,1.2
54,54,USW00023157,BISHOP AIRPORT,CA,19-May,9,6.2,95,670,135,60,40,18,41,30,69.6,1.6,1,1,1,57.9,79,69.6,69.5,1,253,8,174,6.8,157,351,2.2
55,55,USW00024121,ELKO REGIONAL AIRPORT,NV,30-Apr,19,0.3,180,313,159,255,94,16,39,28.5,52.2,13.1,1,1,1,39.9,64,52.2,50.5,7,217,8,211,7,145,289,3.5
56,56,USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT,TX,6-May,14,20.5,243,250,177,212,118,61,73.9,68.9,90.2,-777.7,1,1,1,79,91.9,85.5,85.5,4,517,5,227,17,4,140,12.9
57,57,USW00013995,SPRINGFIELD REGIONAL AIRPORT,MO,9-May,8,1.3,132,379,68,374,46,41,63,52.8,61.2,5.1,1,1,1,52,70,61.2,60.9,5,294,4,249,10.9,27,161,4.6
58,58,USW00013985,DODGE CITY REGIONAL AIRPORT,KS,6-Jun,22,4.3,113,494,125,226,43,46.9,64.9,56.7,67.5,1.9,1,1,1,57.9,77,67.4,67.4,4,274,5,255,12.6,29,138,5.9
59,59,USW00023044,EL PASO INTERNATIONAL AIRPORT,TX,18-Jun,3,8.6,151,514,151,87,96,27,59,45.2,73.4,0.3,1,1,1,64.9,81,73.4,73.4,4,229,3,152,6.4,140,145,1.2
60,60,USW00023023,MIDLAND INTERNATIONAL AIRPORT,TX,20-May,2,3.7,104,574,90,171,60,39,64,53.6,66.7,2,1,1,1,57.9,75.9,66.7,66.7,5,349,4,196,10.5,36,153,5.5
61,61,USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT,UT,13-May,13,6.2,348,79,144,257,172,24.1,46,35.8,67.4,3.8,1,1,1,52,82,67.4,67.1,8,365,1,236,11.6,9,299,3.7
62,62,USW00024023,NORTH PLATTE REGIONAL AIRPORT,NE,20-May,11,4,175,355,79,311,79,37,57.9,47.9,65.6,3.4,1,1,1,53.1,77,65.6,65.3,5,228,1,158,12.9,22,124,1.3
63,63,USW00003928,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT,KS,26-Apr,9,0.9,214,182,129,414,61,35.1,60.1,47.1,58.5,7.4,1,1,1,48,70,58.5,57.6,5,252,1,195,13.9,22,164,1.2
64,64,USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT,AZ,28-May,16,31.7,195,397,209,52,148,23,46.9,34.6,96.7,0,1,1,1,87.1,106,96.7,96.7,7,424,6,186,9.1,33,261,6.7
65,65,AQW00061705,PAGO PAGO WEATHER SERVICE OFFICE AIRPORT,AS,4-Apr,12,21,414,0,85,323,178,75.6,80.1,77.7,97.8,0,1,1,1,81.9,89.1,86,86,3,436,4,148,10.8,9,85,6.6
66,66,USW00024011,BISMARCK MUNICIPAL AIRPORT,ND,17-Jun,16,11.1,208,224,187,215,166,42.1,63,52.8,75.8,0.7,1,1,1,62.1,87.1,75.4,75.4,8,225,4,167,12.9,16,247,1.3
67,67,USW00023042,LUBBOCK INTERNATIONAL AIRPORT,TX,20-Jun,8,7.3,203,331,156,212,98,54,66,60.8,72.1,0.2,1,1,1,66,78.1,72,72,5,337,6,207,13,20,177,6.7
68,68,USW00094746,WORCESTER,MA,29-Apr,1,0.1,NA,NA,NA,NA,NA,20.1,50,35,45.9,19.2,NA,NA,NA,37,55.9,45.9,42.3,7,292,6,144,8.7,58,287,4
69,69,USW00024157,SPOKANE INTERNATIONAL AIRPORT,WA,11-Jun,14,6.1,420,41,82,342,114,33.1,50,41.7,68.8,2.3,1,1,1,55.9,81,68.8,68.7,6,481,5,157,11.7,11,226,8
70,70,USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT,CO,27-Apr,12,1.9,247,136,257,235,126,15.1,37.9,26.9,57.5,9.4,1,1,1,39.9,73,57.5,55.6,5,294,4,248,13.3,24,172,3.2
71,71,USW00094910,WATERLOO MUNICIPAL AIRPORT,IA,7-May,5,0.1,109,344,77,425,45,30,55.9,42.6,48.5,16.5,1,1,1,37,61,48.5,46.2,8,172,4,164,8.7,144,105,0.8
72,72,USW00003103,FLAGSTAFF PULLIAM AIRPORT,AZ,15-May,6,0,NA,NA,NA,NA,NA,14,37,25.5,37.9,27.1,NA,NA,NA,28.9,46.9,37.9,36.6,6,134,2,63,2.8,686,229,1
73,73,USW00013722,RALEIGH AIRPORT,NC,14-Apr,1,0.2,138,337,115,348,61,30,59,44.2,53.2,12,1,1,1,39.9,64.9,53.2,52.1,6,234,5,150,6.7,163,191,1.5
74,74,USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT,NJ,12-May,8,1.3,145,352,101,345,57,37,61,49.3,60,6.3,1,1,1,52,71.1,60,59.6,8,157,2,157,10.3,31,337,2
75,75,USW00022536,LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1,HI,3-Apr,23,6.3,331,82,141,293,154,59.9,69.1,64.4,71.3,-777.7,1,1,1,66.9,73.9,71.3,71.3,2,451,3,257,14.4,13,53,11.4
76,76,USW00094224,ASTORIA REGIONAL AIRPORT,OR,17-Jun,14,1,224,195,118,380,84,46.9,55.9,51.6,62.5,3.5,1,1,1,57,68,62.5,62.5,8,385,7,285,12.9,7,277,9.7
77,77,USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT,MN,12-May,18,3.8,223,89,139,412,137,28.9,57,42.5,64.4,4.4,1,1,1,51.1,77,64.4,63.8,4,208,8,173,12.7,9,93,0.4
78,78,USW00024143,GREAT FALLS AIRPORT,MT,8-May,7,-777.7,182,278,100,357,82,23,42.1,32.6,44.6,20.4,1,1,1,34,55,44.6,40.4,6,460,7,126,10,60,240,6.4
79,79,USW00014840,MUSKEGON CO AIRPORT,MI,15-Apr,1,0.1,65,406,88,413,28,21,46.9,33,42.3,22.8,1,1,1,30,55.9,42.3,38.1,3,178,2,140,9.3,120,103,1.8
80,80,USW00013996,TOPEKA MUNICIPAL AIRPORT,KS,2-May,23,0.9,86,456,94,341,24,37,61,48.7,57.1,8.8,1,1,1,45,68,57.1,56.4,5,168,4,148,7.1,231,149,1.4
81,81,USW00023129,LONG BEACH DAUGHERTY AIRPORT,CA,21-Jun,20,1.8,96,592,141,110,61,53.6,62.1,57.7,66.1,0.7,1,1,1,62.6,70,66.1,66.1,8,480,7,276,7.5,18,282,5
82,82,USW00094814,HOUGHTON LAKE ROSCOMMON CO AIRPORT,MI,21-Apr,21,0.3,98,396,82,382,41,18,46.9,32.3,46.3,19.1,1,1,1,34,61,46.2,42.8,8,197,4,142,8.1,45,353,0.5
83,83,USW00014929,ABERDEEN REGIONAL AIRPORT,SD,26-Jun,19,11.7,125,453,193,159,70,48,69.1,58.7,77.3,0.2,1,1,1,66.9,86,76.5,76.5,5,210,8,155,10.5,13,94,1.1
84,84,USW00026617,NOME MUNICIPAL AIRPORT,AK,5-Jun,7,-777.7,206,141,114,435,103,28,43,35.4,42.6,22.4,1,1,1,34,53.1,42.6,39.5,1,153,7,144,6.2,233,352,1
85,85,USW00014913,DULUTH INTERNATIONAL AIRPORT,MN,31-May,0,0.1,92,416,117,313,62,30.9,53.1,42.6,50.3,14.7,1,1,1,41,60.1,50.3,48.6,3,290,4,149,6.9,118,96,1.9
86,86,USW00024156,POCATELLO REGIONAL AIRPORT,ID,4-Apr,4,0,109,376,102,385,27,16,35.1,25.4,34.4,30.6,1,1,1,25,44.1,34.4,28.1,6,436,5,169,9.2,107,221,5.9
87,87,USW00013740,RICHMOND INTERNATIONAL AIRPORT,VA,26-Jun,7,7.1,233,195,170,298,105,57,72,65.4,72,0.2,1,1,1,66,78.1,71.9,71.9,6,221,1,196,7.2,67,263,1.5
88,88,USW00003937,LAKE CHARLES REGIONAL AIRPORT,LA,20-Apr,4,2,127,399,106,310,59,46.9,70,59.1,62.1,4.9,1,1,1,51.1,72,62.1,62,5,171,4,163,6.2,169,115,1.8
89,89,USW00024243,YAKIMA AIRPORT,WA,22-May,7,0.2,185,426,106,220,63,33.1,50,42,56,9.3,1,1,1,48,64,55.9,55.6,7,342,8,199,6,187,286,4.3
90,90,USW00012835,FORT MYERS PAGE FIELD AIRPORT,FL,3-Jun,6,8.2,187,459,189,69,96,66.9,75,70.6,73.3,-777.7,1,1,1,70,77,73.2,73.2,3,257,2,211,3.6,384,84,2.7
91,91,USW00014739,BOSTON,MA,6-Apr,8,-777.7,187,145,138,461,69,17.1,45,31.5,43.6,21.4,1,1,1,35.1,54,43.6,38,8,196,7,161,12.8,16,314,4.1
92,92,USW00013985,DODGE CITY REGIONAL AIRPORT,KS,5-Jun,16,16.2,211,398,143,155,93,44.1,64.9,55.3,81.1,0.3,1,1,1,66.9,93.9,80.9,80.9,5,334,4,175,15.3,16,156,6.6
93,93,USW00013984,CONCORDIA BLOSSER MUNICIPAL AIRPORT,KS,17-Jun,3,3.3,116,485,88,245,66,52,68,60.6,66.4,1.9,1,1,1,57.9,73.9,66.4,66.3,5,303,4,173,9.8,78,175,4.9
94,94,USW00014735,ALBANY INTERNATIONAL AIRPORT,NY,12-May,17,3.6,185,264,171,325,56,28.9,57.9,43.7,64.5,4.1,1,1,1,52,77,64.5,64.2,5,218,8,176,10.8,68,267,2.5
95,95,USW00003937,LAKE CHARLES REGIONAL AIRPORT,LA,23-May,4,5.5,157,402,173,203,65,59,73.9,67.3,69.9,0.7,1,1,1,63,75.9,69.8,69.8,2,215,5,155,5,221,100,1.6
96,96,USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT,IL,17-May,11,4.4,198,123,121,440,119,35.1,63,48.6,65.8,3.7,1,1,1,53.1,80.1,65.7,65.4,5,203,8,142,12.2,24,220,0.9
97,97,USW00014827,FORT WAYNE INTERNATIONAL AIRPORT,IN,29-Jun,20,10.1,265,224,179,176,156,50,71.1,61,75.7,0.1,1,1,1,68,82.9,75,75,6,207,8,174,6.9,67,262,1.4
98,98,USW00023160,TUCSON INTERNATIONAL AIRPORT,AZ,8-Apr,5,0.1,65,725,93,81,36,17.1,42.1,29.2,52.7,12.4,1,1,1,44.1,61,52.7,51.5,4,614,5,147,7.1,80,144,5.8
99,99,USW00013966,WICHITA FALLS MUNICIPAL AIRPORT,TX,10-Apr,2,0.5,100,534,113,235,17,30.2,60.1,44.7,54.2,11.3,1,1,1,41,66.9,54.2,52.5,5,275,4,182,11.3,32,174,2.6
100,100,USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT,NM,30-Jun,5,2.6,168,301,231,105,194,28,57,44.8,66.5,1.1,1,1,1,61,72,66.5,66.5,3,228,1,207,6.8,111,74,3.4
101,101,USW00014944,SIOUX FALLS FOSS FIELD,SD,19-May,3,0.2,122,408,63,349,59,33.1,57,45.5,52.1,13.2,1,1,1,39.9,64,52.1,50.6,4,173,5,151,8.8,160,126,1.6
102,102,USW00003870,GRNVL SPART INTERNATIONAL AIRPORT,SC,16-Jun,14,19.7,240,207,263,150,141,54,71.1,63.3,86.4,-777.7,1,1,1,77,91.9,84.7,84.7,6,257,5,141,8.6,38,210,2.5
103,103,USW00094908,DUBUQUE REGIONAL AIRPORT,IA,25-May,17,5.9,189,296,164,296,55,37,64.9,51,68.8,2.2,1,1,1,55.9,80.6,68.7,68.5,5,183,2,169,11.1,14,233,0.6
104,104,USW00024023,NORTH PLATTE REGIONAL AIRPORT,NE,17-Jun,1,1.6,124,443,105,274,54,46,62.1,54.8,61.5,5.1,1,1,1,51.1,71.1,61.5,61.4,4,225,3,201,8.1,119,119,3
105,105,USW00023061,ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT,CO,30-May,14,7.2,207,398,227,93,76,14,39,26.9,70.8,1.4,1,1,1,60.1,80.1,70.7,70.7,6,385,5,167,15,11,222,9.2
106,106,USW00024157,SPOKANE INTERNATIONAL AIRPORT,WA,7-May,16,2.4,326,63,99,364,148,23,45,34,60.9,6.5,1,1,1,48.9,75.9,60.9,60.1,6,363,7,194,11.8,18,236,7.1
107,107,USW00024011,BISMARCK MUNICIPAL AIRPORT,ND,1-Jun,16,7.7,232,195,144,278,151,36,57.9,47.4,70.9,1.8,1,1,1,57,82.9,70.9,70.8,8,195,5,174,12.9,16,198,1
108,108,USW00023061,ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT,CO,7-Apr,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,19,39,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,109,USW00013880,CHARLESTON INTL. AIRPORT,SC,4-May,20,4.4,176,404,120,224,76,48,69.1,58.8,68.5,0.9,1,1,1,62.1,75,68.5,68.5,5,402,4,143,7.9,40,175,3.7
110,110,USW00014891,MANSFIELD LAHM REGIONAL AIRPORT,OH,15-Apr,23,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,34,61,46.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,111,USW00023232,SACRAMENTO EXECUTIVE AIRPORT,CA,7-Jun,18,13.5,108,659,114,56,63,39.9,57.9,50.1,78.4,0.2,1,1,1,68,91.9,78.3,78.3,6,645,8,130,12.2,18,226,9.4
112,112,USW00014935,GRAND ISLAND CENTRAL NE REGIONAL AIRPORT,NE,18-Jun,6,1.7,160,481,60,238,60,50,64.9,58.3,63.3,3.4,1,1,1,55,71.1,63.3,63.2,5,256,4,151,9.1,80,177,2.5
113,113,USW00023065,GOODLAND RENNER FIELD,KS,7-Apr,17,2.1,97,471,84,271,77,16,41,29.4,56.1,11,1,1,1,37,73.9,56.1,53.3,1,202,4,183,15.9,11,38,2.1
114,114,USW00024232,SALEM MCNARY FIELD,OR,6-May,5,0,156,214,78,510,41,36,50,42.2,45.1,19.9,1,1,1,37.9,53.1,45.1,43.4,5,332,4,172,4.2,327,180,2.9
115,115,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,TX,2-May,3,3.2,208,232,101,432,27,48,71.1,60.7,NA,2.9,1,1,1,55,73.9,65.3,NA,5,300,4,113,5.4,337,164,2.6
116,116,USW00012960,HOUSTON INTERCONTINENTAL AIRPORT,TX,3-Apr,5,1.5,186,201,96,465,51,39,68,54.6,59,7.6,1,1,1,46,71.1,59,58.4,4,202,5,136,6.5,178,102,1.7
